SubjectID,ExperimentDateTime,ReportDateTime,BITTSyVersion,ReportingVersion,LogFilePath
Sample,4/21/2021 3:51:25 PM,4/21/2021 4:26:37 PM,1.5,0.3,C:\Users\emily\Desktop\BITTSy\ConditionedHeadturnExample\sample-log_4_21_2021_3_55_45_PM.txt

Phase,TrialNum,Stimulus,Group,Side,TimeToOrient,TotalPlayingTime,TotalLookingTime,NumLooks
Training,1,light_on,,LEFT,449,5275,4552,1
Training,1,changestim,changetrialstim,LEFT,1456,6285,4552,1
Training,2,light_on,,LEFT,614,5261,4386,1
Training,2,changestim,changetrialstim,LEFT,1618,6275,4386,1
Training,3,light_on,,LEFT,837,5256,4162,1
Training,3,changestim,changetrialstim,LEFT,1844,6271,4162,1
Training,4,light_on,,LEFT,740,5262,4259,1
Training,4,changestim,changetrialstim,LEFT,1747,6278,4259,1
Training,5,light_on,,LEFT,902,5256,4098,1
Training,5,changestim,changetrialstim,LEFT,1908,6273,4098,1
Test,2,light_on,,LEFT,0,3261,3003,1
Test,2,changestim,changetrialstim,LEFT,1316,4726,3003,1
Test,3,light_on,,LEFT,0,3271,3004,1
Test,3,changestim,changetrialstim,LEFT,1852,5249,3004,1
Test,5,light_on,,LEFT,0,3262,3005,1
Test,5,changestim,changetrialstim,LEFT,1778,5214,3005,1
Test,7,controlstim,controltrialstim,LEFT,2403,5776,3003,1
Test,8,light_on,,LEFT,0,3256,3005,1
Test,8,changestim,changetrialstim,LEFT,1251,4642,3005,1
Test,9,light_on,,LEFT,0,3271,3005,1
Test,9,changestim,changetrialstim,LEFT,2683,6099,3005,1
Test,11,light_on,,LEFT,0,3269,3005,1
Test,11,changestim,changetrialstim,LEFT,1386,4793,3005,1
Test,12,light_on,,LEFT,0,3268,3005,1
Test,12,changestim,changetrialstim,LEFT,1308,4750,3005,1

Phase,Trial,Type,Tag,Side
Training,1,audio,changestim,LEFT
Training,1,light_on,no_tag,LEFT
Training,2,audio,changestim,LEFT
Training,2,light_on,no_tag,LEFT
Training,3,audio,changestim,LEFT
Training,3,light_on,no_tag,LEFT
Training,4,audio,changestim,LEFT
Training,4,light_on,no_tag,LEFT
Training,5,audio,changestim,LEFT
Training,5,light_on,no_tag,LEFT
Test,1,audio,controlstim,LEFT
Test,2,audio,changestim,LEFT
Test,2,light_on,no_tag,LEFT
Test,3,audio,changestim,LEFT
Test,3,light_on,no_tag,LEFT
Test,4,audio,controlstim,LEFT
Test,5,audio,changestim,LEFT
Test,5,light_on,no_tag,LEFT
Test,6,audio,changestim,LEFT
Test,7,audio,controlstim,LEFT
Test,7,light_on,no_tag,RIGHT
Test,8,audio,changestim,LEFT
Test,8,light_on,no_tag,LEFT
Test,9,audio,changestim,LEFT
Test,9,light_on,no_tag,LEFT
Test,10,audio,controlstim,LEFT
Test,11,audio,changestim,LEFT
Test,11,light_on,no_tag,LEFT
Test,12,audio,changestim,LEFT
Test,12,light_on,no_tag,LEFT
Test,13,audio,controlstim,LEFT
Test,14,audio,controlstim,LEFT

SubjectID,SubjectDOB,Experimenter,TestDate,ProtocolName,Comments
Sample,n/a,EAS,4/21/2021 3:51:25 PM,C:\Users\emily\Desktop\BITTSy\ConditionedHeadturnExample\conditioned_headturn_perceptual_discrimination.txt,

