SubjectID,ExperimentDateTime,ReportDateTime,BITTSyVersion,ReportingVersion,LogFilePath
Sample,4/21/2021 11:53:02 AM,4/21/2021 12:03:29 PM,1.5,0.3,C:\Users\emily\Desktop\BITTSy\HPPExample\sample-log_4_21_2021_11_59_28_AM.txt

Phase,Stimulus,Group,TrialNum,LookingTime
Train,trainingmusic1,trainingmusic,1,9816
Train,trainingmusic2,trainingmusic,2,4680
Train,trainingmusic2,trainingmusic,2,9746
Train,trainingmusic1,trainingmusic,3,2975
Train,trainingmusic2,trainingmusic,4,3423
Train,trainingmusic1,trainingmusic,5,14930
Train,trainingmusic2,trainingmusic,6,5983
Train,trainingmusic2,trainingmusic,6,2264
Test,unmatchedfoil2,testblock1,1,5878
Test,unmatchedfoil2,testblock1,1,2041
Test,unmatchedfoil2,testblock1,1,8448
Test,unmatchedfoil1,testblock1,2,6103
Test,unmatchedfoil1,testblock1,2,4479
Test,ownname,testblock1,3,27494
Test,matchedfoil,testblock1,4,7567
Test,ownname,testblock2,5,3743
Test,ownname,testblock2,5,8552
Test,ownname,testblock2,5,4552
Test,matchedfoil,testblock2,6,8720
Test,unmatchedfoil1,testblock2,7,3831
Test,unmatchedfoil1,testblock2,7,2480
Test,unmatchedfoil2,testblock2,8,3717
Test,unmatchedfoil2,testblock3,9,3256
Test,unmatchedfoil1,testblock3,10,5247
Test,unmatchedfoil1,testblock3,10,3400
Test,ownname,testblock3,11,6521
Test,ownname,testblock3,11,8864
Test,matchedfoil,testblock3,12,5198
Test,matchedfoil,testblock3,12,1343
Test,matchedfoil,testblock4,13,2927
Test,unmatchedfoil2,testblock4,14,2951
Test,unmatchedfoil2,testblock4,14,2168
Test,ownname,testblock4,15,9185
Test,ownname,testblock4,15,3288
Test,unmatchedfoil1,testblock4,16,9573

Phase,Group,Tag,LookingTimePerTrial
Train,trainingmusic,(average),8969.5
Train,trainingmusic,trainingmusic1,9240.33333333333
Train,trainingmusic,trainingmusic2,8698.66666666667
Test,testblock1,(average),15502.5
Test,testblock2,(average),8898.75
Test,testblock3,(average),8457.25
Test,testblock4,(average),7523
Test,"testblock1,testblock2,testblock3,testblock4",matchedfoil,6438.75
Test,"testblock1,testblock2,testblock3,testblock4",ownname,18049.75
Test,"testblock1,testblock2,testblock3,testblock4",unmatchedfoil1,8778.25
Test,"testblock1,testblock2,testblock3,testblock4",unmatchedfoil2,7114.75

