SubjectID,ExperimentDateTime,ReportDateTime,BITTSyVersion,ReportingVersion,LogFilePath
,5/4/2021 4:18:13 PM,5/4/2021 4:29:14 PM,1.5,0.3,C:\Users\emily\Desktop\BITTSy\HPP_wordsegmentation\sample-log_5_4_2021_4_26_23_PM.txt

Phase,Group,Tag,LookingTimePerTrial
Train,familiarized,(average),9699.75
Train,familiarized,bikewords,10737.75
Train,familiarized,feetwords,8661.75
Test,testblock1,(average),17517.5
Test,testblock2,(average),11532.25
Test,testblock3,(average),10806.25
Test,testblock4,(average),11680.75
Test,"testblock1,testblock2,testblock3,testblock4",bikepassage,16349.5
Test,"testblock1,testblock2,testblock3,testblock4",cuppassage,7247.25
Test,"testblock1,testblock2,testblock3,testblock4",feetpassage,16680.75
Test,"testblock1,testblock2,testblock3,testblock4",goatpassage,11259.25

Phase,Stimulus,Group,TrialNum,LookingTime
Train,bikewords,familiarized,1,10103
Train,feetwords,familiarized,2,2567
Train,feetwords,familiarized,2,4032
Train,feetwords,familiarized,2,3784
Train,bikewords,familiarized,3,6560
Train,bikewords,familiarized,3,3656
Train,feetwords,familiarized,4,6327
Train,bikewords,familiarized,5,15465
Train,feetwords,familiarized,6,2479
Train,bikewords,familiarized,7,7167
Train,feetwords,familiarized,8,15458
Test,goatpassage,testblock1,1,20543
Test,feetpassage,testblock1,2,17671
Test,bikepassage,testblock1,3,5348
Test,bikepassage,testblock1,3,15309
Test,cuppassage,testblock1,4,11199
Test,feetpassage,testblock2,5,11543
Test,feetpassage,testblock2,5,2039
Test,cuppassage,testblock2,6,6432
Test,bikepassage,testblock2,7,19495
Test,goatpassage,testblock2,8,6620
Test,bikepassage,testblock3,9,5504
Test,bikepassage,testblock3,9,4696
Test,feetpassage,testblock3,10,17375
Test,cuppassage,testblock3,11,5847
Test,goatpassage,testblock3,12,5349
Test,goatpassage,testblock3,12,2455
Test,goatpassage,testblock3,12,1999
Test,goatpassage,testblock4,13,8071
Test,bikepassage,testblock4,14,10575
Test,bikepassage,testblock4,14,1583
Test,bikepassage,testblock4,14,2888
Test,feetpassage,testblock4,15,2927
Test,feetpassage,testblock4,15,15168
Test,cuppassage,testblock4,16,5511

